Ref ID,Reference,Propellant type,Test #,Mass (kg),Fireball or Plume Distance (m),Measurement Distance (m),Burn time (sec),Peak flux (cal/cm^2/s),Av. flux (cal/cm^2/s),Type,Drum diameter (cm),Configuration,Notes
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,414,50,,9.1,9,1.63,0.562222222,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,421,70,,9.1,8,2.6,1.15,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,422,70,,9.1,3.5,2.34,1.402857143,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,423,70,,9.1,9,2.79,0.775555556,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,424,70,,9.1,22,2.43,0.284545455,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,425,70,,9.1,18,2.48,0.416666667,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,426,70,,9.1,21,2.57,0.217619048,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,427,70,,9.1,21,1.09,0.196666667,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,510,2.04,,4.3,7.5,0.010114,0.00389,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,510,2.04,,2.4,7.5,0.03042,0.0117,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,510,2.04,,1.1,7.5,0.026,0.01,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,511,5.73,,4.3,7,0.03094,0.0119,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,511,5.73,,2.4,7,0.04316,0.0166,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,511,5.73,,1.1,7,0.02886,0.0111,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,512,5.68,,4.3,8,0.0299,0.0115,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,512,5.68,,2.4,8,0.04186,0.0161,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,512,5.68,,1.1,8,0.026,0.01,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,513,10.56,,4.3,7.5,0.06032,0.0232,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,513,10.56,,2.4,7.5,0.0546,0.021,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,513,10.56,,1.1,7.5,0.0286,0.011,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,514,15.66,,4.3,13,0.06396,0.0246,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,514,15.66,,2.4,13,0.0546,0.021,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,514,15.66,,1.1,13,0.03068,0.0118,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,515,10.67,,4.3,53,0.00949,0.00365,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,515,10.67,,2.4,53,0.02496,0.0096,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,515,10.67,,1.1,53,0.0182,0.007,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,516,18.27,,4.3,68,0.014222,0.00547,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,516,18.27,,2.4,68,0.03042,0.0117,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",WC844,516,18.27,,1.1,68,0.021866,0.00841,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,517,4.31,,4.3,8.4,0.03016,0.0116,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,517,4.31,,2.4,8.4,0.04082,0.0157,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,517,4.31,,1.1,8.4,0.025662,0.00987,Unconfined Burn (Test Data),,,peak heat flux is 2.6 x avg; total heat is the max of the test from the avg and burn time calc
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,5110,50,,15.2,17,0.45,0.131176471,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,5120,50,,15.2,11,0.78,0.164545455,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,5130,50,,15.2,18,0.25,0.132222222,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,5140,50,,15.2,19,0.21,0.057894737,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,5150,50,,15.2,10,0.667,0.212,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,5160,50,,15.2,14,0.722,0.164285714,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,5170,50,,15.2,20,0.248,0.1385,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
3,"DDESB IIT Research Institute R. Pape T. Waterman A. Takata ""Fire Hazards from Combustible Ammunition, Methodology Development (Phase I)"" 1980",M1,5180,50,,15.2,20,0.202,0.1385,Unconfined Burn (Test Data),,,total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
4,"SMS C. Guymon ""Heat flux from the Top Ignition of a Single Barrel of WC814"" TEAD 2020",WC814,1,27,,7.3,120,0.036,0.015,Unconfined Burn (Test Data),36,,Barrel
4,"SMS C. Guymon ""Heat flux from the Top Ignition of a Single Barrel of WC814"" TEAD 2020",WC814,1,27,,6.1,120,0.045,0.02,Unconfined Burn (Test Data),36,,Barrel
4,"SMS C. Guymon ""Heat flux from the Top Ignition of a Single Barrel of WC814"" TEAD 2020",WC814,1,27,,4.6,120,0.074,0.033,Unconfined Burn (Test Data),36,,Barrel
4,"SMS C. Guymon ""Heat flux from the Top Ignition of a Single Barrel of WC814"" TEAD 2020",WC814,1,27,,2.4,120,0.265,0.084,Unconfined Burn (Test Data),36,,Barrel
5,"China Lake Ranges Test Operation Branch (DB1110M), ""Convective Combustion of a Hazard Division 1.3 M1 Gun Propellant in Fiber Barrels Heat Flux Data, 20 March 2020",M1,1,81.65,,4.6,20,2.25,0.96,Unconfined Burn (Test Data),,,Barrel; total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
5,"China Lake Ranges Test Operation Branch (DB1110M), ""Convective Combustion of a Hazard Division 1.3 M1 Gun Propellant in Fiber Barrels Heat Flux Data, 20 March 2020",M1,1,81.65,,2.4,20,0.937,0.557,Unconfined Burn (Test Data),,,Barrel; total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
5,"China Lake Ranges Test Operation Branch (DB1110M), ""Convective Combustion of a Hazard Division 1.3 M1 Gun Propellant in Fiber Barrels Heat Flux Data, 20 March 2020",M1,1,81.65,,2.4,20,1.58,0.886,Unconfined Burn (Test Data),,,Barrel; total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
5,"China Lake Ranges Test Operation Branch (DB1110M), ""Convective Combustion of a Hazard Division 1.3 M1 Gun Propellant in Fiber Barrels Heat Flux Data, 20 March 2020",M1,1,81.65,,1.2,20,2.015,0.96,Unconfined Burn (Test Data),,,Barrel; total heat found from energy reported in cal/cm2 and then multiplying by 4piR2; average found from total and burn time
6," ""China Lake; Convective Combustion of Unconfined HD 1.3 Material in Fiber Barrels; Presentation by Auston Bon et al.""",M1,2020-1,327,,4.6,45,3.1,1.4,Unconfined Burn (Test Data),,,
6," ""China Lake; Convective Combustion of Unconfined HD 1.3 Material in Fiber Barrels; Presentation by Auston Bon et al.""",M1,2020-1,327,,2.4,45,4.3,1.7,Unconfined Burn (Test Data),,,
6," ""China Lake; Convective Combustion of Unconfined HD 1.3 Material in Fiber Barrels; Presentation by Auston Bon et al.""",M1,2020-1,327,,2.4,45,9.6,2.4,Unconfined Burn (Test Data),,,
6," ""China Lake; Convective Combustion of Unconfined HD 1.3 Material in Fiber Barrels; Presentation by Auston Bon et al.""",M1,2020-2,244,,4.6,20,2.4,1.2,Unconfined Burn (Test Data),,,
6," ""China Lake; Convective Combustion of Unconfined HD 1.3 Material in Fiber Barrels; Presentation by Auston Bon et al.""",M1,2020-2,244,,4.6,20,2.6,1.2,Unconfined Burn (Test Data),,,
6," ""China Lake; Convective Combustion of Unconfined HD 1.3 Material in Fiber Barrels; Presentation by Auston Bon et al.""",M1,2020-2,244,,2.4,20,4.3,1.8,Unconfined Burn (Test Data),,,
6," ""China Lake; Convective Combustion of Unconfined HD 1.3 Material in Fiber Barrels; Presentation by Auston Bon et al.""",M1,2020-2,244,,2.4,20,4.8,1.8,Unconfined Burn (Test Data),,,
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,1,450,,15,3.4,4.018508951,1.516418472,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,2,450,,15,3.4,4.735426041,1.786953223,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,2,450,,12,3.4,3.075196991,1.160451695,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,2,450,,12,3.4,3.395923057,1.281480399,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,2,450,,12,3.4,5.69760424,2.150039336,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,2,450,,9,3.4,8.055884141,3.03995628,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,3,450,,15,3.4,5.376878174,2.029010632,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,3,450,,12,3.4,3.3204581,1.253003057,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,3,450,,12,3.4,3.471388014,1.309957741,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,3,450,,12,3.4,7.112572181,2.683989502,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,3,450,,9,3.4,11.99892814,4.52789741,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,,15,4,3.534076448,1.333613754,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,,12,4,5.238564646,1.976816848,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,,12,4,6.020439966,2.271864138,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,,12,4,9.429416363,3.558270326,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,,12,4,11.32155464,4.272284769,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,,9,4,9.757803997,3.682190188,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,5,2300,,18,4.7,8.799591033,3.32060039,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,5,2300,,15,4.7,3.026952167,1.142246101,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,5,2300,,15,4.7,4.821693717,1.819507063,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,5,2300,,15,4.7,5.277075901,1.991349397,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,,27.5,5.4,3.210660748,1.211570094,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,,24.5,5.4,3.896997648,1.47056515,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,,21,5.4,2.919840029,1.101826426,? Burn (Test Data),,,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)"
